"id","experience_R","experience_datatable","usage_frequency","usage_context","usage_area","appreciate_most","biggest_challenges","desired_extra_functionality","satisfaction1_performance","satisfaction1_readability","satisfaction1_concise","satisfaction1_nonbreaking","satisfaction1_mindeps","satisfaction1_errors","satisfaction1_docs","importance_performance","importance_readability","importance_concise","importance_nonbreaking","importance_mindeps","importance_errors","importance_docs","satisfaction2_io","satisfaction2_filter","satisfaction2_reshape","satisfaction2_joins","satisfaction2_manip","pipe_helper_usefulness","walrus_alias","contribution_interest","contribution_areas_interest","contribution_areas_previous","contribution_easier","values_et_al","agreements_et_al","gov_docs_rolemodels","anything_else","responses_sharing"
45,"4 - 7 years","2 - 4 years","Occasionally","Professionally;Side projects;","Data preparation;","Speed","Syntax is fundamentally different than everything else","Piping.  We're all doing it.  We all like it.  Get with the program.","Very satisfied","Very dissatisfied","Very dissatisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Somewhat dissatisfied","Very dissatisfied","Extremely important","Extremely important","Very important","Important","Important","Extremely important","Extremely important","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","Reporting issues;Reviewing R code;Submitting R code;GitHub issue triage (adding labels to issues, finding new issues to prioritize and old issues to close, etc.);","I haven't contributed to data.table yet;","Cleaning up issues and PRs.  The GitHub repo is messy.  The package also feels messy.  I'd rather use the Posit tidy approach for developing rather than a zealous 'base only for all things'.  A lot of us use a lot of Posit developed packages and are quite happy with them.","I would love documentation updated and general code readability improvements.  It sometimes worries me to look behind the scenes at code which I would flag in a PR for my job and send back to be rewritten.","Tidy development.  Package functionality can be dependency free, but documentation, testing, and management don't have to be.","Be friendly and collaborative with Posit.  They've done a lot to make R a great community.","The GitHub repo is a mess.  The fans are kind if annoying.  The code can be cleaned it.  It's blazingly fast, but harder to develop.  At this point, when I need the speed, I just look at dtplyr.",NA
46,"7+ years","0 - 3 months","Every week","Professionally;","Data preparation;","Nothing","Syntax is awful","No, want the lead statistician to stop using it","Neither satisfied nor dissatisfied","Very dissatisfied","Very dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Important","Very important","Very important","Important","Somewhat important","Somewhat important","Important","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Somewhat useful to me","These are all awful","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
47,"2 - 4 years","3 - 12 months","Every week","Academic research;As a student;","Data preparation;Statistical analysis;","Speed with big data","Switching from tidyverse style",NA,"Very satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Extremely important","Very important","Not important at all","Very important","Important","Very important","Important","Neither satisfied nor dissatisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
48,"7+ years","7+ years","Every day","Professionally;Academic research;Teaching;As a student;Side projects;","Data preparation;Statistical analysis;As a dependency in my R package(s);In Shiny apps;","Speed and efficient ram use","Other people reading dense syntax","probably not possible but support for larger than memory data would be awesome","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Extremely important","Very important","Very important","Very important","Extremely important","Extremely important","Very important","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Very useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;",NA,"Speed speed speed!!!",NA,NA,"love data.table, it's my favorite data manipulation package in existence",NA
49,"4 - 7 years","2 - 4 years","Occasionally","Professionally;Side projects;","Data preparation;As a dependency in my R package(s);","< masked >","< masked >","< masked >","Very satisfied","Very dissatisfied","Somewhat dissatisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Very dissatisfied","Very dissatisfied","Somewhat important","Extremely important","Not important at all","Extremely important","Very important","Extremely important","Extremely important","Neither satisfied nor dissatisfied","Somewhat satisfied","Very dissatisfied","Somewhat dissatisfied","Very dissatisfied","Very useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;Reporting issues;Reviewing R code;Submitting R code;",NA,"< masked >","< masked >","< masked >","< masked >","< masked >","Only share my responses to open-ended questions in a summarized form"
50,"4 - 7 years","2 - 4 years","Every week","Professionally;Academic research;Side projects;","Data preparation;As a dependency in my R package(s);","Speed, extremely stable API, no dependencies","Can be difficult to teach others, limited to R compared to things like polars",NA,"Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Extremely important","Very important","Very important","Extremely important","Extremely important","Very important","Extremely important","Neither satisfied nor dissatisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Very useful to me","setj (DT[, setj(new1 = sum(colB), new2 = sum(colC))])","Maybe","GitHub issue triage (adding labels to issues, finding new issues to prioritize and old issues to close, etc.);Reviewing R code;Submitting R code;","Reporting issues;Submitting requests for new features;Submitting R code;",NA,"Longevity and stability of the API, few dependencies",NA,NA,NA,NA
51,"3 - 12 months","4 - 7 years","Every day","Professionally;Side projects;","Data preparation;As a dependency in my R package(s);In Shiny apps;","Stability, speed, syntax","None for me","Arrow bindings","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Important","Important","Very important","Very important","Very important","Important","Important","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Not useful to me","None of the above","Yes","Donating financially;I’m a heavy user for 5 years. I have written blog posts using data.table. I don’t currently volunteer on any open source projects, but will happily give time to help. My blog is www.redwallanalytics.com.;Writing/editing documentation;Spreading the word about data.table;","Spreading the word about data.table;","A short minute conversation might help to see if there is anything I can contribute.","I want to keep using data.table syntax forever, but worry that arrow may be hard to ignore.",NA,NA,"I am very grateful for your work.",NA
52,"7+ years","7+ years","Every month","Academic research;Side projects;","Data preparation;Statistical analysis;","Syntax and speed","SD Syntax with other functions","Fast switching of multiple indices","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Extremely important","Extremely important","Extremely important","Extremely important","Very important","Very important","Extremely important","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat dissatisfied","Not useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;","Spreading the word about data.table;",NA,NA,NA,NA,NA,NA
53,"4 - 7 years","4 - 7 years","Every day","Professionally;Academic research;","Data preparation;Statistical analysis;","Fast, elegant syntax, does most things well.",".SD is still confusing me","Melting arrays and lists without reshape2","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Extremely important","Important","Important","Very important","Very important","Very important","Important","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Not useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;",NA,"At this point, its a mature package. No dramatic changes.","Not sure. Definitely needs more redundancy in development team.","Not familiar",NA,NA
54,"7+ years","4 - 7 years","Every day","Professionally;","Data preparation;Statistical analysis;As a dependency in my R package(s);In Shiny apps;In production;","It is generally the fastest approach, and scales well for large data.","Frankly I respect the syntax, but can never remember without looking up specific examples. Sorry! It is a somewhat notable R package dependency, lighter than most, but takes some time to compile. It’s okay ofc, but pls don’t make it much larger! Haha.",NA,"Very satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Important","Somewhat important","Somewhat important","Important","Important","Not important at all","Important","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Somewhat satisfied","Somewhat useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;","If I had a specific need that wasn’t met by data.table that made sense to add into data.table and not a separate R package, I’d be motivated to take a more active role.","Stability, performance, compatibility with future versions of R and associated compilers.","Enhanced maintenance mode? Stability and support for current features, but for me and my work (not disrespecting others ofc) the scope doesn’t need substantial expansion.","N/A","Immense appreciation for Matt Dowle’s and collaborators’ efforts, development and maintenance of the package. And serious patience trying to gain traction among peers developing similar (less efficient) approaches for many of the same tasks. Best of luck to Matt and to the current team of supporters.",NA
